Start_time,Depthsum,Depths
2021.08.03,13656529,619109
2021.08.04,18077305,819190
2021.08.05,15525854,703981
2021.08.06,10637950,482100
2021.08.07,14374297,649622
2021.08.08,19478746,880490
2021.08.09,23160349,1047107
2021.08.10,8034214,361979
2021.08.11,18601502,838855
2021.08.12,29093848,1315005
2021.08.13,23608730,1067502
2021.08.14,15893489,717316
2021.08.15,20202789,917244
2021.08.16,23184915,1067693
2021.08.17,24179430,1104146
2021.08.18,18609600,855128
2021.08.19,14364553,658421
2021.08.20,22061389,1012843
2021.08.21,21501903,984912
2021.08.22,12787690,601252
2021.08.23,18244782,881443
2021.08.24,16636435,804579
2021.08.25,17859146,859695
2021.08.26,14693407,707021
2021.08.27,13314976,639544
2021.08.28,8347712,396834
2021.08.29,8302936,401486
2021.08.30,16620149,798746
2021.08.31,19726852,937064
2021.09.01,13776310,648476
2021.09.02,11313270,540910
2021.09.03,8299698,396812
2021.09.04,5668448,273008
2021.09.05,18343129,878067
2021.09.06,12181430,576535
2021.09.07,12634787,613748
2021.09.08,5552001,273744
2021.09.09,9494670,464988
2021.09.10,15753195,769374
2021.09.11,14166703,693436
2021.09.12,14581135,717804
2021.09.13,4363345,219844
2021.09.14,9911303,489377
2021.09.15,9858635,485817
2021.09.16,11238999,552832
2021.09.17,15918875,785573
2021.09.18,13795582,673542
2021.09.19,14882298,724866
2021.09.20,16474690,795810
2021.09.21,13041670,628462
2021.09.22,11264404,539234
2021.09.23,8392029,399349
2021.09.24,17023117,811348
2021.09.25,20368271,962259
2021.09.26,13439896,640273
2021.09.27,7252280,351167
2021.09.28,14914051,711600
2021.09.29,15360474,732767
2021.09.30,19358712,918626
2021.10.01,15563363,743154
2021.10.02,5801365,279354
2021.10.03,7735575,370268
2021.10.04,7914824,376919
2021.10.05,8619028,409836
2021.10.06,5173236,243153
2021.10.07,7272474,339656
2021.10.08,15266408,727834
2021.10.09,13005094,621044
2021.10.10,10503451,506844
2021.10.11,9431218,452182
2021.10.12,11829686,565197
2021.10.13,14699494,701498
2021.10.14,16347083,762595
2021.10.15,14886583,688119
2021.10.17,705601,32276
2021.10.18,16989722,787118
2021.10.19,22618824,1053404
2021.10.20,18729360,885141
2021.10.21,14004084,673660
2021.10.22,16400343,790963
2021.10.23,12441015,604317
2021.10.24,14278966,684282
2021.10.25,14614886,678860
2021.10.26,14520717,679359
2021.10.27,11137126,525349
2021.10.28,12106491,570463
2021.10.29,15654472,735079
2021.10.30,16670272,783739
2021.10.31,11678022,551781
2021.11.01,13890504,650607
2021.11.02,13574426,639180
2021.11.03,18059535,845832
2021.11.04,16184183,762786
2021.11.05,15409941,725575
2021.11.06,11952254,554255
2021.11.07,16065789,751359
2021.11.08,16214862,760643
2021.11.09,14002335,657996
2021.11.10,14242543,670294
2021.11.11,12787450,602748
2021.11.12,15510982,728106
2021.11.13,12964087,606406
2021.11.14,10723332,502615
2021.11.15,5585380,262252
2021.11.16,7456087,351650
